"Feature","Gain","Cover","Frequency"
"dedups",0.12371266790314,0.0988865672490968,0.00686370225732966
"L3_S32_F3854:T2",0.0829739860087036,0.0499585942797093,0.00180468033490133
"L3_S33_F3859",0.0405021973162239,0.00247703667561691,0.0266264311706754
"L1_S24_F1723",0.0402039199127106,0.0400639340199267,0.0109168367799769
"L1_S24_F1846",0.0281673777563967,0.0481224612862143,0.0110055915505458
"L3_S32_F3851:T1",0.0259789761624064,0.0208595504862463,0.0013017366350108
"L3_S33_F3865",0.021914576503505,0.00643520521829916,0.0185793319724269
"S33_Mean",0.0209318448102762,0.0132663821312515,0.00408271944617023
"S34_Mean",0.0199599345107544,0.0750459809263358,0.0126919321913553
"MinMin_features",0.0199585440377185,0.0372756054624494,0.0109464217034999
"L3_S32_F3854:T4",0.0184703710466559,0.0471658639227942,0.00142007632910269
"L1_S24_F1695",0.0138621003034143,0.0319459297216752,0.00304724712286619
"MaxMax_features",0.0128815109665035,0.0137272386809667,0.00884589213336884
"L3_S30_F3804",0.0116656442936249,0.00778577898857685,0.0209757107777876
"L3_S33_F3857",0.0112854241718234,0.00341935873104217,0.0202952575367593
"L3_S30_F3554",0.0104208029277634,0.00247256287428425,0.0222182775657525
"L3_S30_F3744",0.0101270937802064,0.00274047127846465,0.0208573710836957
"L3_S30_F3774",0.00999532449343073,0.00293301532150203,0.0213011449365403
"L3_S30_F3754",0.00999168567884458,0.00263839239724626,0.0208277861601728
"L3_S38_F3956",0.00985378349503542,0.00109684448463652,0.00363894559332564
"L3_S30_F3749",0.0097647156529516,0.00590527905421247,0.0193189550605012
"L3_S36_F3920",0.00965312224276627,0.00407694306439781,0.0198514836839147
"L3_S30_F3809",0.00957564271171479,0.00372248161325037,0.0198810686074377
"L3_S30_F3759",0.00942451066957176,0.00216832260967657,0.0209757107777876
"L3_S30_F3769",0.00937781570881767,0.00578919807907258,0.0181355581195823
"L0_S1_F28",0.00924510869557107,0.00676831427078048,0.017307180260939
"L3_S30_F3704",0.00913307464654072,0.0202862044470275,0.0103547232330404
"S30_Mean",0.00906381038098133,0.00622462001048609,0.0126031774207864
"L1_S24_F1844",0.0088836687010416,0.00729331001622109,0.00955593029792018
"L0_S0_F20",0.0086195074630033,0.00259801953909729,0.0160941983964971
"L1_S24_F1604",0.00861290921501625,0.0207777916775248,0.00245554865240673
"S39_Mean",0.00828881356471234,0.00625386615501511,0.00825419366290938
"L0_S12_F350",0.0082379630048454,0.00425870099681661,0.00920091121564451
"S31_Mean",0.00815806282151209,0.00427293465107966,0.0102955533859945
"L3_S29_F3336",0.00811406894841862,0.0045827171043993,0.0163604627082039
"L1_S24_F1498",0.00788307644614962,0.0503707951444211,0.0067157776397148
"L3_S29_F3479",0.00776157791466972,0.00135204037169341,0.0144966125262566
"L3_S29_F3339",0.00760498760979474,0.00307776486647783,0.0149108014555782
"L3_S32_F3854:T16",0.00727676292697308,0.044402833025562,0.00147924617614863
"L3_S29_F3395",0.00699745438246577,0.00130905186423368,0.0157983491612674
"L1_S24_F867",0.00655330548298246,0.0467714088874247,0.00757374042188101
"L3_S29_F3351",0.00647828603313693,0.00531609670481315,0.0119818940268039
"S35_Mean",0.00610243158845663,0.00723041994766213,0.00763291026892696
"L0_S1_F24",0.00589865759447138,0.00201033705759815,0.0113901955563445
"L3_S29_F3382",0.00585080516784885,0.00113182448668819,0.0127806869619242
"TimeToExitProduction_features",0.00582430885402695,0.00276380359105714,0.00902340167450667
"S38_StationTiming",0.00575906295447293,0.0014538235332564,0.0124848377266945
"S36_Mean",0.00574518897991426,0.00160156904167126,0.0123664980326026
"L1_S24_F1632",0.00530437770063836,0.00699639891416911,0.0039052099050324
"S27_Mean",0.00504286435007916,0.00578969150185817,0.00786958965711074
"S37_Time0",0.00496576013848704,0.000986174505784722,0.0103251383095175
"S36_Time0",0.00493717704815528,0.00151596124642233,0.0105026478506553
"S37_Mean",0.00490137861447955,0.0028925097586069,0.0102067986154256
"L3_S30_F3519",0.00457166983014976,0.000405497812031274,0.0101476287683796
"S39_Time0",0.00450109345342791,0.00194538966954456,0.00529570131061211
"S34_Time0",0.00443085849282701,0.00302556560958632,0.00662702286914588
"S31_Time0",0.00442585108717047,0.00240049794516018,0.00396437975207834
"L2_S26_F3040",0.00422390522653735,0.00662677428327318,0.00846128812757019
"L0_S4_F104",0.00419166920341893,0.00274060337098897,0.0067157776397148
"S35_StationTiming",0.00396972468425488,0.0108290800423806,0.00710038164551345
"L1_S24_F1609",0.00393907320236127,0.00117123785924906,0.00301766219934321
"L2_S27_F3166",0.00392992021910709,0.00809819318362153,0.00553238069879589
"S8_Mean",0.0039158994646069,0.00234411210073807,0.00786958965711074
"S25_StationTiming",0.00390831077900385,0.00635398235625607,0.00766249519244993
"S7_Mean",0.00390414451368024,0.000864306135761376,0.00647909825153102
"S25_Max",0.00384270155645699,0.00292033372637959,0.00488151238129049
"S4_Mean",0.00379419947603727,0.00171118716006282,0.00730747611017426
"S5_Mean",0.00373755515949163,0.00446563753555411,0.0060649093222094
"S12_Mean",0.00369896578464262,0.00343426423563696,0.00683411733380669
"LastStation38",0.00368315291963765,3.71228226449092e-05,0.00112422709387296
"S6_Mean",0.00367546597215714,0.000628496662162902,0.00627200378687021
"S31_StationTiming",0.0035703141163581,0.00238590482340238,0.00650868317505399
"L3_S38_F3960",0.00342467117744332,0.00396820644604664,0.00497026715185941
"L3_S34_F3880",0.00329570286522321,0.000102937671474857,0.000917132629212153
"S27_StationTiming",0.00320374528887159,0.00203754435254031,0.00914174136859856
"S28_StationTiming",0.00303083376603741,0.00276181685786227,0.00532528623413508
"L3_S38_F3952",0.00298276851528971,0.000207134358170648,0.0035797757462797
"S1_Mean",0.00296838193088664,0.00256215922959034,0.00414188929321618
"S12_StationTiming",0.00295922506706589,0.00366477778416907,0.00612407916925535
"S35_Time0",0.00294233253490833,0.00131197350931468,0.00470400284015266
"S3_Mean",0.00288627383714094,0.00112437377794508,0.005414041004704
"S18_Mean",0.00274279706181554,0.00407027579733153,0.00464483299310671
"S27_Time0",0.00273712828194729,0.00133148025603197,0.00544362592822698
"S30_Max",0.00270863664906733,0.00199681435871335,0.00316558681695808
"S11_StationTiming",0.00258898908724393,0.00311982389873493,0.00485192745776752
"L1_S24_F1578",0.00238623450097397,0.000993515384615993,0.00621283393982427
"S28_Time0",0.00233420118535403,0.00427822542465427,0.00461524806958374
"S30_Time0",0.00228843142010953,0.0001392072944659,0.00488151238129049
"S11_Mean",0.00220407861308614,0.00125151104353637,0.0039052099050324
"S13_Mean",0.00217100517097741,0.000965894175505716,0.00331351143457294
"S10_Mean",0.0021165216577843,0.00221889778634072,0.00485192745776752
"S16_Mean",0.00211423357984377,0.00383663349732133,0.00402354959912429
"S26_StationTiming",0.00211293710660333,0.0135385347451289,0.00355019082275672
"S28_Mean",0.00208240954339263,0.00385791888667538,0.00369811544037159
"L3_S29_F3412",0.0020753569484664,0.00252477531601609,0.00186385018194728
"S38_Mean",0.00206084105889734,0.00126052501258487,0.00210052957013106
"L3_S32_F3854:T48",0.00203917751853665,0.0101830624800291,0.00150883109967161
"L1_S24_F1758",0.00200398288699122,0.00153872515613422,0.0037868702109405
"S22_StationTiming",0.00199756819276547,0.00242253807891589,0.00304724712286619
"S24_StationTiming",0.00184326086745836,0.0015736260357096,0.00396437975207834
"S34_StationTiming",0.00181284593815088,0.00390446285694512,0.00337268128161889
"S9_Mean",0.00180289583803817,0.000363405494865482,0.00192302002899323
"S10_StationTiming",0.0018000995208133,0.000475441385558932,0.00431939883435401
"S26_Max",0.00178531678816035,0.00134038401823958,0.0029289074287743
"S20_Mean",0.00177749882245068,0.000416985292438081,0.00337268128161889
"S15_Mean",0.00173496484738824,0.000770734814026063,0.00381645513446348
"S21_Mean",0.00166700105636376,0.000842314272723269,0.00133132155853377
"S9_Time0",0.00161073057757355,0.0025788599966298,0.00295849235229727
"L1_S24_F1842",0.00160376294196723,0.000222899229162969,0.00423064406378509
"L3_S32_F3850",0.00160306040423531,0.00084744191201498,0.00431939883435401
