"Feature","Gain","Cover","Frequency"
"L3_S32_F3854:T2",0.039610832944719,0.0761342095796236,0.00174610921316631
"L3_S33_F3859",0.0349796427826963,0.00189579883933771,0.0245214467762052
"L1_S24_F1723",0.0203493715883654,0.120983614100507,0.00789545035518681
"L3_S30_F3754",0.0200739497033204,0.00113963506234516,0.0272870234802885
"L0_S0_F20",0.0198407670742961,0.00295056827987077,0.0176671547096144
"L3_S33_F3857",0.0196488485563196,0.00149685904437672,0.0220920774361477
"L3_S30_F3774",0.0191169481610443,0.00124270442376752,0.0228512553549157
"L3_S30_F3759",0.0184180623458985,0.00108401378907589,0.0227102651700016
"L3_S30_F3744",0.0173772293188887,0.00621548291340582,0.0226343473781248
"L3_S30_F3809",0.0171352006655649,0.00217109421038685,0.0219293964535546
"MinMin_features",0.0170517633615522,0.0612276172963763,0.00800390434358223
"L3_S30_F3749",0.016824046446858,0.00202055237383307,0.0209858467545144
"MaxMax_features",0.0166023993560143,0.00663968194434384,0.00882815465538745
"S30_Mean",0.0165573494771236,0.00346859507431607,0.0133398405726371
"L3_S30_F3804",0.0165143244879425,0.00125673448270537,0.0202158234369069
"L3_S36_F3920",0.0164632291190934,0.00094584408917849,0.0224391301990131
"L3_S33_F3865",0.0161106792863896,0.00160662387244505,0.0185456320156174
"L3_S30_F3554",0.0159034012432088,0.00144427835315797,0.0216799522802451
"S34_Mean",0.0156688439120479,0.0509100257431364,0.00703866384686297
"L3_S29_F3479",0.0148012396671417,0.000840852468416335,0.0193265007320644
"L3_S30_F3769",0.0146305716863876,0.000990651202638166,0.0170164307792419
"L3_S29_F3395",0.0140105073787793,0.0113374281413503,0.0186540860040128
"L0_S1_F28",0.0137661446378985,0.00279139467978528,0.0158668185022504
"L3_S29_F3336",0.0129462738327365,0.00101501415216171,0.0156173743289409
"S34_Time0",0.012797578608663,0.00059260632067908,0.00424055094626105
"L1_S24_F1846",0.0127476472590915,0.0995321471324645,0.00737487121088878
"L3_S32_F3854:T4",0.011714501488067,0.0738559631299208,0.00122553006886828
"L0_S12_F350",0.010991817595265,0.00308159195800174,0.0105091914755165
"S38_StationTiming",0.0107683979842616,0.000550569000038032,0.0127650344341413
"L0_S1_F24",0.0107503387496139,0.00257963411659551,0.0115178135675939
"L3_S29_F3339",0.0106927571351237,0.00376145863060745,0.0120817743072501
"L3_S29_F3382",0.0106205727671164,0.00129723048741907,0.0143484626647145
"L3_S29_F3351",0.0103573422600689,0.00307454351801247,0.0117889485385825
"L3_S32_F3851:T1",0.0103559434227605,0.00431204890496943,0.000661569329212082
"S37_Mean",0.0103489938893601,0.00151282968199859,0.0120600835095711
"S33_Mean",0.0103076999267154,0.0041593256255548,0.00159427362941272
"S37_Time0",0.0100272070058622,0.00212520754936014,0.0120492381107315
"L3_S30_F3519",0.00984444638346531,0.000392088339913173,0.0133289951737975
"S36_Time0",0.00953920857352096,0.000589841451439104,0.013079551000488
"TimeToExitProduction_features",0.0088618727009689,0.00157164868563879,0.00780868716447047
"L3_S30_F3704",0.00884708687005958,0.0128513026997576,0.00829673011224988
"S36_Mean",0.00834503942904575,0.000619355407019431,0.0115503497641126
"S4_Mean",0.00795922879039692,0.00121177938338188,0.00911013502521555
"L2_S26_F3040",0.00775769129008134,0.00279113511419988,0.0108237080418632
"L3_S38_F3956",0.00773450081998723,0.0010881764060828,0.00251613253077382
"S39_Mean",0.00714619431288037,0.00367417971126478,0.00600835095710645
"S31_Mean",0.00689856355951524,0.00110818406881378,0.00617103193969958
"S35_Mean",0.006798856340838,0.00204696028087305,0.00540100862209208
"S8_Mean",0.00673816017930028,0.000776444508628533,0.00816658532617537
"S7_Mean",0.00659857035564558,0.00154015927163329,0.00719049943061656
"S6_Mean",0.0062109704078894,0.000512733213359165,0.00675668347703487
"S28_StationTiming",0.00615980949765403,0.0015453663977789,0.00592158776639011
"S5_Mean",0.0060433812475585,0.00114197621085995,0.00732064421669107
"L0_S4_F104",0.00587723384747013,0.0028173746715488,0.00683260126891166
"LastStation38",0.00583873059789487,6.84639460777394e-05,0.00122553006886828
"L1_S24_F1844",0.0057653962498187,0.00142414540234684,0.00584566997451331
"S27_StationTiming",0.00573211661591559,0.000527233013494234,0.00975001355674855
"S3_Mean",0.00569724937110258,0.00100956448811393,0.00700612765034434
"S35_StationTiming",0.00563978922850632,0.0060590953993946,0.00642047611300906
"L1_S24_F1578",0.00550620417656391,0.00306433435490457,0.00837264790412667
"S35_Time0",0.00548620090318685,0.000952781816066216,0.00556368960468521
"S27_Mean",0.00497109888712209,0.0022955196653488,0.00729895341901198
"S31_StationTiming",0.00494081748326507,0.000645976298114204,0.00682175587007212
"S30_Time0",0.00482440650705903,0.000357311867182052,0.00594327856406919
"S11_StationTiming",0.00481140865559793,0.00109985661610412,0.00596496936174828
"S12_Mean",0.00478667248036333,0.00210461420639664,0.0063554037199718
