"Feature","Gain","Cover","Frequency"
"L3_S32_F3854:T2",0.0406852881039622,0.0765577250278048,0.00190156468254434
"L3_S33_F3859",0.0361625436022649,0.00100299197127416,0.0254128860352376
"L3_S33_F3865",0.0251915797678166,0.00179470391074718,0.018863052128696
"S34_Mean",0.022699876941728,0.0785793400770013,0.008193161409975
"L1_S24_F1723",0.0208237990505914,0.0974048426959105,0.00700761799678377
"L3_S33_F3857",0.0198052980555604,0.00118650034186841,0.0224666345826535
"L3_S30_F3759",0.0195891849720836,0.00125801261271559,0.0242742948364302
"L0_S0_F20",0.0191836358742819,0.00417585203627305,0.0201307619170589
"MinMin_features",0.0191238527738244,0.0380851417312773,0.00782928174850046
"L3_S30_F3744",0.0183330438817262,0.0016795030877102,0.0236521779958447
"L3_S30_F3754",0.0180229318345707,0.000937968874679792,0.0258941462326717
"L3_S30_F3554",0.0172981304117612,0.00131423397384957,0.0231943939056026
"L3_S36_F3920",0.0168351893866777,0.00164388093428937,0.0225370629042292
"MaxMax_features",0.0166865153943292,0.00762840509524188,0.00866268355381311
"L3_S30_F3749",0.0166300710531334,0.00132247079157854,0.0212928292230582
"L3_S30_F3774",0.0164525144845534,0.000796661818889452,0.0213632575446339
"L3_S32_F3851:T1",0.01635618410174,0.00633257449968021,0.000962520394868123
"L3_S30_F3769",0.0163506390616742,0.00105221736104859,0.0203185707745942
"L3_S30_F3809",0.0156676324877042,0.00214528759413723,0.0206472362752808
"L3_S30_F3804",0.0155457986164649,0.0016683576004339,0.0202246663458265
"L1_S24_F1846",0.014216595348747,0.10236709372397,0.00843966053549
"L3_S29_F3479",0.0141082328869398,0.000515166660865667,0.0181000786449591
"S30_Mean",0.0130877012764067,0.00109395367344107,0.0124423368117099
"L3_S29_F3395",0.0120374839381443,0.0180288969354841,0.01737231932201
"L3_S29_F3339",0.0118953545758294,0.00232717949933924,0.0142617351190826
"L0_S1_F28",0.0114787867700599,0.00131594065648532,0.0152359935675466
"TimeToExitProduction_features",0.0106294224171554,0.00142623778145224,0.00919089596563098
