feature,score
DATE_L3kurt,1066
S29,924
L3_S33_F3857,893
sameL0_Number1,845
DATE_S33max,793
L3_S33_F3859,728
S24.311,722
Kurtosis,707
S33,669
L3_S30_F3744,668
L3_S30_F3754,655
L3_S30_F3759,616
S30,607
FOR100_Sum,607
sameL3,594
DATE_S32max,577
sameL1_Number1,567
L3_S33_F3865,565
FOR165_Sum,563
L3_S29_F3373,553
L0_Max,548
L3_S30_F3704,539
L3_S30_F3749,532
sameL3_Number1,523
BAC100_log_lag_L3,522
L3_S29_F3351,503
L0_S2_F44,473
BAC165_Sum,467
BAC165_log_lag_L3,462
BAC30_Sum_S,455
L3_S30_F3809,454
Range,451
BAC100_Sum,449
L3_S29_F3348,449
L3_S30_F3604,431
FOR30_Sum_S,430
S0,429
FOR165_log_lag,428
L3_S30_F3574,425
FOR165_log_lag_L3,421
L3_S29_F3379,419
L3_S30_F3774,414
L3_S36_F3920,411
L0_S1_F24,404
L0_S1_F28,404
L3_S29_F3321,398
BAC60_Sum_S3,396
L3_S29_F3345,395
DATE_S36max,394
S24.308,387
FOR60_log_lag_S34,387
S1,386
L3_S30_F3609,385
L3_S30_F3804,384
L3_S29_F3479,381
GF0,371
Response_Minus1,367
L0_S0_F20_Mult_L0_S0_F20,357
S24.211,352
L3_S30_F3494,352
BAC165_log_lag,343
DATE_S38max,341
S3,334
S36,332
Response_Minus1_Number1,325
L3_S30_F3554,325
L0_S0_F20,324
L3_S29_F3354,316
L3_S30_F3819,310
L3_S29_F3333,309
L3_S30_F3534,308
L3max_L0min,307
L0_S5_F114,304
L3_S29_F3427,300
L0_S9_F180,297
tdelta_devrel,296
CATEGORICAL_Last_____1,293
S24.307,292
FOR60_Sum_S3,290
DATE_S34max,282
BAC100_log_lag,279
L0_S7_F138,276
L3_S30_F3544,274
S11,269
DATE_S35max,268
L3_S30_F3519,268
L3_S30_F3769,267
L0_S10_F244,266
L0_S6_F132,259
GF1,259
L0_S11_F322,258
L3_S29_F3342,256
L2_Min,255
L1_S24_F1844,255
L3_S29_F3382,254
L0_S0_F18,252
L0_S11_F310,252
L3_S30_F3709,251
BAC60_log_lag_S34,249
L3_S29_F3327,247
L3_S35_F3896,246
L2max_S37max,244
DATE_S37max,244
FOR100_LAG_Missing_Value_Count_ResponseMinus1,242
L3_S30_F3624,242
L3_S29_F3336,242
L0_S2_F36,240
L3_S29_F3315,239
S17,237
L0_S6_F122,237
L0max_L3max,237
L3_S29_F3324,234
L3_S30_F3829,232
FOR100_LAG0_Missing_Value_Count_ResponseMinus1,230
L0_S0_F16,229
FOR100_log_lag_L3,228
FOR100_LAG3_Missing_Value_Count_ResponseMinus1,225
L3_S29_F3461,223
L3_S29_F3376,223
S24.306,222
S2,216
L0_S3_F96,216
L3_S30_F3794,215
L0_S5_F116,214
BAC100_log_lag_L2,213
L3_S29_F3339,213
L3_S30_F3629,212
L3_S30_F3589,210
L3_S30_F3669,208
L2_S26_F3069,208
L3_S29_F3436,207
FOR165_log_lag_L1,207
FOR165_LAG1_Missing_Value_Count_ResponseMinus1,206
FOR165_log_lag_L2,205
L3_S30_F3799,205
L3_S30_F3639,202
FOR165_LAG_Missing_Value_Count_ResponseMinus1,200
L0_S2_F60,199
L3_S29_F3330,199
S33min_S37min,197
L0_S0_F0,196
S45,195
FOR100_log_lag,195
L0_S11_F326,195
L2_S26_F3106,192
BAC165_LAG_Missing_Value_Count_ResponseMinus1,192
FOR100_LAG2_Missing_Value_Count_ResponseMinus1,192
S35,190
S7,187
BAC165_log_lag_L2,184
BAC165_LAG2_Missing_Value_Count_ResponseMinus1,183
S9,183
DATE_S6_max,183
L3_S38_F3960,182
S26,180
L3_S30_F3644,180
L3_S30_F3524,179
BAC30_log_lag_S30,179
FOR165_LAG3_Missing_Value_Count_ResponseMinus1,178
BAC100_LAG2_Missing_Value_Count_ResponseMinus1,178
L3_Max,178
BAC60_log_lag_S33,178
S4,177
S32,177
L0_S0_F2,177
L3_S30_F3579,175
L0_S10_F259,175
L0_S3_F100,175
DATE_S5_max,175
L0_S4_F104,173
