feature,score
L2_S26_F3051,84
L3_Unique_Count,84
FOR60_log_lag_S30,82
L3_S30_F3584,82
L1_S25_F2126,81
L2_S26_F3113,80
d_rel_d_39.0,80
S21,79
L0_S0_F4,78
L0_S11_F318,78
L2_S26_F3117,77
L1_S24_F1773,77
L0_S9_F185,76
FOR100_log_lag_L1,76
L1_S24_F1842,76
DATE_S11max,76
L2_S26_F3073,76
BAC100_LAG0_Missing_Value_Count_ResponseMinus1,76
L3_S30_F3564,74
L3_S30_F3664,74
CATEGORICAL_out_out_L3_S32_F3854_class2,74
FOR100_log_lag_L0,74
L1_S24_F1494,74
L2_S26_F3062,73
L3_S30_F3674,72
L0_S9_F195,72
L0_S11_F314_Mult_L0_S0_F20,71
d_26.0,71
L2_S26_F3036,71
L2_S27_F3210,71
S38,71
L1_S24_F1778,70
L0_S11_F302,70
L0_S17_F433,70
L0_S2_F48,69
L1_S24_F1667,69
L0_S23_F655,69
S29min_S34min,69
S25.1,69
L1_S24_F1516,69
BAC100_LAG1_Missing_Value_Count_ResponseMinus1,68
S24.3,68
L0_S11_F286,68
BAC100_log_lag_L1,68
DATE_S7_max,67
L0_S4_F109,67
L1_S24_F1578,67
L2_S26_F3047,67
L0_S12_F348,67
S13,66
L3_S30_F3679,66
L2_S27_F3166,66
DATE_S10max,66
DATE_S29max,65
L0_S11_F282,65
S13min_S33min,65
L0_S3_F84,65
L3_S29_F3476,65
BAC100_log_lag_L0,64
S24.207,64
L2_S26_F3040,64
L1_S24_F1812,64
L1_S24_F1850,63
L3max_S26max,63
L3_S30_F3634,63
L1_S24_F1637,62
S20,62
L1_S24_F1514,61
FOR165_LAG2_Count_Mult_ResponseMinus1,61
S24.303,61
L3_S29_F3407,61
S24.109,60
S24.301,60
BAC60_log_lag_S30,60
S25.109,59
L0_Range,57
L0_S23_F639,57
L0_S10_F254,57
S22,56
L2_S27_F3129,56
L0_S21_F537,56
S29min_S32min,56
CATEGORICAL_Missing_Value_Count,56
L0_S15_F415,56
FOR30_log_lag_S34,56
L0_S0_F12,55
L1_S24_F1829,55
L1_Min,55
L0_S21_F482,54
S30min_S35min,54
S29max_S35max,54
S27,54
L3_S30_F3499,54
FOR100_LAG_Count_Mult_ResponseMinus1,54
S25.211,54
S14,54
S24.205,53
DATE_S24max,53
S25.102,52
L0_S10_F219,51
L0_S9_F190,51
L1_Max,51
S30min_S37min,51
L1_S24_F1518,51
L0_S10_F249,50
L0_S15_F397,50
L1_S25_F2173,50
L1_S25_F2131,49
DATE_S8_max,49
L1_S24_F1763,49
L0_S23_F623,49
L2_S27_F3206,49
L3_S33_F3855,48
S34,48
L1_S24_F1652,48
L0_S9_F165,48
L0_S0_F14,48
BAC165_LAG2_Count_Mult_ResponseMinus1,47
d_5.0,47
L0_S9_F170,47
S18,47
S50,47
L0_S22_F571,47
L1_S24_F1700,46
tdeltadevrel_block2,46
S24.103,46
S24.104,46
S26min_S37min,46
S32_dest_33.0,46
DATE_S18max,45
L1_S24_F1594,45
DATE_S14max,45
L3_S35_F3894,45
L0_S12_F332,44
L0_S11_F314_Mult_L0_S11_F314,44
DATE_S13max,44
L0_S23_F643,44
d_rel_d_36.0,44
BAC165_LAG0_Count_Mult_ResponseMinus1,44
L1_S24_F1831,43
L0_S10_F229,43
CATEGORICAL_Last_____2,43
sameL2_prev,43
L1_S24_F1818,42
L1_S24_F1565,42
L0_S14_F370,42
L0_S19_F459,42
L1_S24_F1573,42
S8,41
S32_dest_35.0,41
L0_S11_F290,41
L0_S18_F439,41
BAC165_LAG1_Count_Mult_ResponseMinus1,41
L3_S41_F4008,41
CATEGORICAL_Unique_Count,40
L1_S25_F2161,40
DATE_S17max,40
L2_S27_F3155,40
L1_S25_F2136,40
L0_S12_F350,40
L0_S9_F155,40
DATE_S1_max,39
L1_S24_F1758,39
FOR165_LAG_Count_Mult_ResponseMinus1,38
S47,38
L0_S9_F200,38
L1_S24_F1783,38
L1_S24_F1575,38
DATE_S9_max,38
L1_S25_F2111,38
L0_S17_F431,37
S24.309,37
S35min_L1min,37
L3_S36_F3938,37
d_39.0,37
L1_S25_F2116,37
DATE_S22max,36
DATE_S21max,36
d_rel_d_26.0,36
L0_S15_F403,36
L1_S24_F1657,36
