Feature,Gain,Cover,Frequency,Fold,FeatureLine,FeatureStation,FeatureNumber,Type,Categorical,Category
L1_S25_F2789,3.47522E-05,1.53837E-05,4.09216E-05,1,1,25,2789,F,,Category 1
L0_S19_F453,3.34192E-05,6.82921E-07,6.13823E-05,1,0,19,453,F,,Category 1
L3_S50_F4253,3.3145E-05,1.20963E-07,2.04608E-05,1,3,50,4253,F,,Category 1
L1_S25_D2406,3.14722E-05,3.14888E-05,0.000204608,1,1,25,2406,D,,Category 1
L1_S24_D801,3.03139E-05,1.91782E-07,4.09216E-05,1,1,24,801,D,,Category 1
L1_S25_F1852:T4,3.00831E-05,3.48806E-08,2.04608E-05,1,1,25,1852,F,T4,Category 1
L1_S25_F2975,2.94389E-05,1.55759E-06,2.04608E-05,1,1,25,2975,F,,Category 1
L1_S24_F675:T2,2.94256E-05,7.25486E-07,4.09216E-05,1,1,24,675,F,T2,Category 1
L1_S25_F1885,2.90977E-05,2.765E-06,0.000122765,1,1,25,1885,F,,Category 1
L1_S25_F2783,2.89292E-05,2.41415E-06,0.000102304,1,1,25,2783,F,,Category 1
L1_S25_F1919,2.78306E-05,4.7792E-08,2.04608E-05,1,1,25,1919,F,,Category 1
L1_S25_D2801,2.73524E-05,8.51687E-06,4.09216E-05,1,1,25,2801,D,,Category 1
L1_S25_D2780,2.68994E-05,5.23148E-08,4.09216E-05,1,1,25,2780,D,,Category 1
L1_S25_F2877,2.66987E-05,3.50341E-08,4.09216E-05,1,1,25,2877,F,,Category 1
L1_S25_F2707,2.51354E-05,2.74628E-05,2.04608E-05,1,1,25,2707,F,,Category 1
L1_S25_F2341,2.47019E-05,9.21269E-06,6.13823E-05,1,1,25,2341,F,,Category 1
L3_S29_F3491,2.36022E-05,2.15846E-06,4.09216E-05,1,3,29,3491,F,,Category 1
L1_S25_F2818,2.32953E-05,1.41198E-06,4.09216E-05,1,1,25,2818,F,,Category 1
L1_S24_F1184,2.15542E-05,1.94203E-05,2.04608E-05,1,1,24,1184,F,,Category 1
L1_S25_D2996,2.14543E-05,3.94139E-07,2.04608E-05,1,1,25,2996,D,,Category 1
L3_S47_F4148,2.14241E-05,7.45822E-08,2.04608E-05,1,3,47,4148,F,,Category 1
L1_S25_F2867,2.13505E-05,3.86888E-06,6.13823E-05,1,1,25,2867,F,,Category 1
L1_S25_F2002,2.13174E-05,5.17795E-08,2.04608E-05,1,1,25,2002,F,,Category 1
L1_S25_F2791,2.12846E-05,3.55531E-07,2.04608E-05,1,1,25,2791,F,,Category 1
L1_S25_D2790,2.07591E-05,1.63979E-06,2.04608E-05,1,1,25,2790,D,,Category 1
L1_S25_F1865,2.05841E-05,1.36506E-06,4.09216E-05,1,1,25,1865,F,,Category 1
L1_S25_F2793,2.02577E-05,6.76438E-07,2.04608E-05,1,1,25,2793,F,,Category 1
L2_S28_F3292,2.00754E-05,1.92184E-08,2.04608E-05,1,2,28,3292,F,,Category 1
L1_S25_F2755,1.96793E-05,2.6031E-08,2.04608E-05,1,1,25,2755,F,,Category 1
L1_S25_F2758,1.955E-05,5.69497E-06,2.04608E-05,1,1,25,2758,F,,Category 1
L1_S25_F2472,1.92043E-05,2.15056E-06,2.04608E-05,1,1,25,2472,F,,Category 1
L3_S37_F3948,1.83925E-05,9.50178E-06,0.000163686,1,3,37,3948,F,,Category 1
L3_S29_F3464,1.82275E-05,6.18997E-08,6.13823E-05,1,3,29,3464,F,,Category 1
L0_S18_F435,1.79011E-05,2.39877E-07,4.09216E-05,1,0,18,435,F,,Category 1
L1_S24_F1510:T3,1.77956E-05,5.3502E-08,6.13823E-05,1,1,24,1510,F,T3,Category 1
