"Feature","Gain","Cover","Frequency"
"L3_S32_F3854:T2",0.0411739885807041,0.0775524629020342,0.00195913488145574
"L3_S33_F3859",0.0371951042893146,0.00153394484227042,0.026619883558763
"L3_S33_F3865",0.0224093622732668,0.00298200671488172,0.0196024173732097
"L3_S33_F3857",0.0216027605161274,0.00210335483281756,0.0231996989352047
"S34_Mean",0.0209430055776176,0.0628740171427088,0.0073273858278175
"MaxMax_features",0.0201461125749872,0.00224239058876336,0.0099174285524539
"L1_S24_F1723",0.0194944809154552,0.0987683953859877,0.00643083257698183
"L0_S0_F20",0.0189188349655636,0.00213279408632113,0.0200230226019968
"L3_S30_F3759",0.0186360966011586,0.00149146617095665,0.0239634294822128
"L3_S30_F3754",0.0182108250575208,0.00175808595758035,0.0241626635379541
"L3_S30_F3744",0.0172905817011158,0.0031381298936082,0.0222810085670644
"L3_S30_F3774",0.0170840489351998,0.000967146967241717,0.0213844553162287
"L3_S30_F3804",0.0166732686911916,0.0017833817978105,0.0212405640537489
"L3_S30_F3554",0.0165154889896422,0.00108135147326964,0.0207203417970912
"L3_S30_F3809",0.0163492421735142,0.00166018375554453,0.0214287295508379
"L3_S30_F3769",0.0163330315007005,0.00173342539833885,0.0190379208819428
"L3_S30_F3749",0.0163167349361959,0.00149838836386218,0.0199234055741261
"MinMin_features",0.0154556687228763,0.0528563797862882,0.00713922033072853
"L3_S36_F3920",0.0149212686432452,0.00170798406314391,0.0202665308923472
"L3_S29_F3395",0.014668120769955,0.016138224266029,0.0191707435857703
"L3_S29_F3479",0.0144725308286554,0.000533920557491852,0.0167245921236137
"L1_S24_F1846",0.013651237682253,0.108223359186093,0.00817966484404401
"L0_S1_F28",0.0133306719465023,0.0013142315892773,0.016171164190999
"S38_StationTiming",0.0129707512679884,0.00242639552137989,0.0140570694884112
"S30_Mean",0.0116522063307527,0.00359022846932396,0.0127509795674407
"L3_S29_F3351",0.0116416853183493,0.0025565229753496,0.0138246297567131
"L3_S29_F3382",0.0109201148701023,0.000716115332162586,0.013404024527926
