[1]	train-auc:0.508986	test-auc:0.512456 
Multiple eval metrics are present. Will use test_auc for early stopping.
Will train until test_auc hasn't improved in 100 rounds.

[2]	train-auc:0.509034	test-auc:0.512557 
[3]	train-auc:0.509034	test-auc:0.512557 
[4]	train-auc:0.509034	test-auc:0.512557 
[5]	train-auc:0.509034	test-auc:0.512557 
[6]	train-auc:0.509070	test-auc:0.512723 
[7]	train-auc:0.509070	test-auc:0.512723 
[8]	train-auc:0.509070	test-auc:0.512723 
[9]	train-auc:0.509070	test-auc:0.512723 
[10]	train-auc:0.509129	test-auc:0.512802 
[11]	train-auc:0.509129	test-auc:0.512802 
[12]	train-auc:0.509129	test-auc:0.512802 
[13]	train-auc:0.509129	test-auc:0.512802 
[14]	train-auc:0.509129	test-auc:0.512802 
[15]	train-auc:0.509129	test-auc:0.512802 
[16]	train-auc:0.509129	test-auc:0.512803 
[17]	train-auc:0.509129	test-auc:0.512803 
[18]	train-auc:0.509129	test-auc:0.512803 
[19]	train-auc:0.509129	test-auc:0.512803 
[20]	train-auc:0.509131	test-auc:0.512818 
[21]	train-auc:0.509131	test-auc:0.512818 
[22]	train-auc:0.509131	test-auc:0.512818 
[23]	train-auc:0.509131	test-auc:0.512818 
[24]	train-auc:0.509131	test-auc:0.512818 
[25]	train-auc:0.509131	test-auc:0.512818 
[26]	train-auc:0.509131	test-auc:0.512818 
[27]	train-auc:0.509131	test-auc:0.512818 
[28]	train-auc:0.509131	test-auc:0.512818 
[29]	train-auc:0.509131	test-auc:0.512830 
[30]	train-auc:0.509131	test-auc:0.512829 
[31]	train-auc:0.509132	test-auc:0.512847 
[32]	train-auc:0.509132	test-auc:0.512847 
[33]	train-auc:0.509132	test-auc:0.512847 
[34]	train-auc:0.509132	test-auc:0.512847 
[35]	train-auc:0.509132	test-auc:0.512847 
[36]	train-auc:0.509132	test-auc:0.512847 
[37]	train-auc:0.509132	test-auc:0.512847 
[38]	train-auc:0.509132	test-auc:0.512847 
[39]	train-auc:0.509132	test-auc:0.512847 
[40]	train-auc:0.509132	test-auc:0.512847 
[41]	train-auc:0.509132	test-auc:0.512844 
[42]	train-auc:0.509132	test-auc:0.512847 
[43]	train-auc:0.509132	test-auc:0.512844 
[44]	train-auc:0.509132	test-auc:0.512844 
[45]	train-auc:0.509133	test-auc:0.512845 
[46]	train-auc:0.509133	test-auc:0.512845 
[47]	train-auc:0.509133	test-auc:0.512845 
[48]	train-auc:0.509133	test-auc:0.512845 
[49]	train-auc:0.509134	test-auc:0.512844 
[50]	train-auc:0.509134	test-auc:0.512844 
[51]	train-auc:0.509134	test-auc:0.512844 
[52]	train-auc:0.509134	test-auc:0.512844 
[53]	train-auc:0.509134	test-auc:0.512844 
[54]	train-auc:0.509134	test-auc:0.512844 
[55]	train-auc:0.509134	test-auc:0.512844 
[56]	train-auc:0.509134	test-auc:0.512844 
[57]	train-auc:0.509134	test-auc:0.512844 
[58]	train-auc:0.509134	test-auc:0.512844 
[59]	train-auc:0.509134	test-auc:0.512844 
[60]	train-auc:0.509134	test-auc:0.512844 
[61]	train-auc:0.509134	test-auc:0.512844 
[62]	train-auc:0.509134	test-auc:0.512844 
[63]	train-auc:0.509134	test-auc:0.512844 
[64]	train-auc:0.509134	test-auc:0.512844 
[65]	train-auc:0.509134	test-auc:0.512844 
[66]	train-auc:0.509134	test-auc:0.512844 
[67]	train-auc:0.509134	test-auc:0.512844 
[68]	train-auc:0.509140	test-auc:0.512850 
[69]	train-auc:0.509140	test-auc:0.512850 
[70]	train-auc:0.509140	test-auc:0.512850 
[71]	train-auc:0.509149	test-auc:0.512827 
[72]	train-auc:0.509149	test-auc:0.512827 
[73]	train-auc:0.509149	test-auc:0.512827 
[74]	train-auc:0.509149	test-auc:0.512827 
[75]	train-auc:0.509149	test-auc:0.512827 
[76]	train-auc:0.509149	test-auc:0.512827 
[77]	train-auc:0.509149	test-auc:0.512827 
[78]	train-auc:0.509149	test-auc:0.512827 
[79]	train-auc:0.509149	test-auc:0.512827 
[80]	train-auc:0.509149	test-auc:0.512827 
[81]	train-auc:0.509149	test-auc:0.512827 
[82]	train-auc:0.509149	test-auc:0.512827 
[83]	train-auc:0.509149	test-auc:0.512827 
[84]	train-auc:0.509149	test-auc:0.512827 
[85]	train-auc:0.509149	test-auc:0.512827 
[86]	train-auc:0.509149	test-auc:0.512827 
[87]	train-auc:0.509149	test-auc:0.512827 
[88]	train-auc:0.509149	test-auc:0.512827 
[89]	train-auc:0.509149	test-auc:0.512827 
[90]	train-auc:0.509149	test-auc:0.512827 
[91]	train-auc:0.509149	test-auc:0.512827 
[92]	train-auc:0.509149	test-auc:0.512827 
[93]	train-auc:0.509149	test-auc:0.512827 
[94]	train-auc:0.509149	test-auc:0.512827 
[95]	train-auc:0.509149	test-auc:0.512827 
[96]	train-auc:0.509149	test-auc:0.512827 
[97]	train-auc:0.509149	test-auc:0.512827 
[98]	train-auc:0.509149	test-auc:0.512827 
[99]	train-auc:0.509149	test-auc:0.512827 
[100]	train-auc:0.509149	test-auc:0.512827 
[101]	train-auc:0.509149	test-auc:0.512827 
[102]	train-auc:0.509149	test-auc:0.512827 
[103]	train-auc:0.509149	test-auc:0.512827 
[104]	train-auc:0.509149	test-auc:0.512827 
[105]	train-auc:0.509149	test-auc:0.512827 
[106]	train-auc:0.509149	test-auc:0.512827 
[107]	train-auc:0.509149	test-auc:0.512827 
[108]	train-auc:0.509149	test-auc:0.512827 
[109]	train-auc:0.509149	test-auc:0.512827 
[110]	train-auc:0.509149	test-auc:0.512827 
[111]	train-auc:0.509149	test-auc:0.512827 
[112]	train-auc:0.509149	test-auc:0.512827 
[113]	train-auc:0.509190	test-auc:0.512703 
[114]	train-auc:0.509190	test-auc:0.512703 
[115]	train-auc:0.509190	test-auc:0.512703 
[116]	train-auc:0.509190	test-auc:0.512703 
[117]	train-auc:0.509190	test-auc:0.512703 
[118]	train-auc:0.509190	test-auc:0.512703 
[119]	train-auc:0.509190	test-auc:0.512703 
[120]	train-auc:0.509190	test-auc:0.512703 
[121]	train-auc:0.509190	test-auc:0.512703 
[122]	train-auc:0.509190	test-auc:0.512703 
[123]	train-auc:0.509190	test-auc:0.512703 
[124]	train-auc:0.509190	test-auc:0.512703 
[125]	train-auc:0.509190	test-auc:0.512703 
[126]	train-auc:0.509190	test-auc:0.512703 
[127]	train-auc:0.509190	test-auc:0.512703 
[128]	train-auc:0.509190	test-auc:0.512703 
[129]	train-auc:0.509190	test-auc:0.512703 
[130]	train-auc:0.509190	test-auc:0.512703 
[131]	train-auc:0.509190	test-auc:0.512703 
[132]	train-auc:0.509190	test-auc:0.512703 
[133]	train-auc:0.509190	test-auc:0.512703 
[134]	train-auc:0.509190	test-auc:0.512703 
[135]	train-auc:0.509190	test-auc:0.512703 
[136]	train-auc:0.509190	test-auc:0.512703 
[137]	train-auc:0.509190	test-auc:0.512703 
[138]	train-auc:0.509190	test-auc:0.512703 
[139]	train-auc:0.509190	test-auc:0.512703 
[140]	train-auc:0.509190	test-auc:0.512703 
[141]	train-auc:0.509190	test-auc:0.512703 
[142]	train-auc:0.509190	test-auc:0.512703 
[143]	train-auc:0.509190	test-auc:0.512703 
[144]	train-auc:0.509190	test-auc:0.512703 
[145]	train-auc:0.509190	test-auc:0.512703 
[146]	train-auc:0.509190	test-auc:0.512703 
[147]	train-auc:0.509190	test-auc:0.512703 
[148]	train-auc:0.509190	test-auc:0.512703 
[149]	train-auc:0.509190	test-auc:0.512703 
[150]	train-auc:0.509190	test-auc:0.512703 
[151]	train-auc:0.509190	test-auc:0.512703 
[152]	train-auc:0.509190	test-auc:0.512703 
[153]	train-auc:0.509190	test-auc:0.512703 
[154]	train-auc:0.509190	test-auc:0.512703 
[155]	train-auc:0.509190	test-auc:0.512703 
[156]	train-auc:0.509190	test-auc:0.512703 
[157]	train-auc:0.509190	test-auc:0.512703 
[158]	train-auc:0.509190	test-auc:0.512703 
[159]	train-auc:0.509190	test-auc:0.512703 
[160]	train-auc:0.509190	test-auc:0.512703 
[161]	train-auc:0.509190	test-auc:0.512703 
[162]	train-auc:0.509190	test-auc:0.512703 
[163]	train-auc:0.509190	test-auc:0.512703 
[164]	train-auc:0.509190	test-auc:0.512703 
[165]	train-auc:0.509190	test-auc:0.512703 
[166]	train-auc:0.509190	test-auc:0.512703 
[167]	train-auc:0.509190	test-auc:0.512703 
[168]	train-auc:0.509190	test-auc:0.512703 
Stopping. Best iteration:
[68]	train-auc:0.509140	test-auc:0.512850

[1]	train-auc:0.507043	test-auc:0.500950 
Multiple eval metrics are present. Will use test_auc for early stopping.
Will train until test_auc hasn't improved in 100 rounds.

[2]	train-auc:0.507043	test-auc:0.500950 
[3]	train-auc:0.507043	test-auc:0.500950 
[4]	train-auc:0.509650	test-auc:0.510272 
[5]	train-auc:0.509650	test-auc:0.510272 
[6]	train-auc:0.509650	test-auc:0.510272 
[7]	train-auc:0.509650	test-auc:0.510272 
[8]	train-auc:0.509693	test-auc:0.510258 
