Iter_Mean,Iter_Std,AUC_Mean,AUC_Std,MCC_Mean,MCC_Std,Thresh_Mean,Thresh_Std,Detect_Mean,Detect_Std
173,1.15262743330185E2,0.60123386113868,0.0041956350682921,0.117693899367536,0.0023304301491765,0.00640926351770759,7.45057497512395E-5,2.76011838266385E1,1.33391987707533
5.64E1,4.94095132540283E1,0.582139681460444,0.00664390914553778,0.108628188197024,0.00175284833229385,0.00634334916248918,8.71599755437591E-5,3.05091294926004E1,0.581506408800762
6.98E1,5.59794605190154E1,0.546666001071085,0.00497297108495585,0.188303663298325,0.0104606407245255,0.00599153526127338,1.77761456776306E-5,1.84024188160677E1,2.26014280015108
6.72E1,4.02517080382932E1,0.547649175819243,0.00571046953259777,0.199207176225165,0.00616173410173671,0.00598015757277608,2.11575766179695E-5,1.63688983086681E1,1.11336816211412
2.78E1,1.39534941860453E1,0.545074405379321,0.00421443828996386,0.207557668539287,0.0288081762867633,0.00598375201225281,1.25472436785714E-5,1.59014959830867E1,4.19158702071838
4.92E1,5.03805518032504E1,0.539170674023027,0.00426481741154743,0.192774018412574,0.00552374102106199,0.00597425708547235,6.4398198338733E-5,1.68523029598309E1,1.04686824397221
7.54E1,5.89007640018362E1,0.545147126720461,0.00517895151151897,0.203694050263353,0.00655126637390982,0.00598213514313102,2.21697241171838E-5,1.51688838266385E1,0.898760833715229
2.86E1,2.25011110836776E1,0.545976046115262,0.00667930129947086,0.183150627296893,0.00281794590086238,0.0059561263769865,5.26810844150019E-5,1.96137881606765E1,1.06086174891452
1.112E2,2.06950960374674E2,0.554170864124167,0.00761278429224043,0.707916799618097,0.171464681857319,0.00632842481136322,0.00040476869670696,0.057711733615222,0.0371049771151921
42,5.32963413378442E1,0.528722526410689,0.00274852487595592,0.243411923474127,0.0176590220913373,0.0059211160056293,1.37561025253516E-5,1.25409914376321E1,2.01563063305553
3.64E1,3.06969053814876E1,0.536621987178494,0.0038510074144837,0.260636972970555,0.00611088948709731,0.00589040163904428,1.02588918304422E-5,1.0730982769556E1,0.384172079952075
8.76E1,6.22278072890247E1,0.540133097019716,0.00553431730457166,0.275994246913163,0.00549620426365814,0.0059312921948731,2.69812269340919E-5,9.49298773784355,0.500258799194969
1.882E2,6.88781532853488E1,0.54963128087963,0.00427893543415484,0.276924086406701,0.00352036299281043,0.00591300176456571,1.82175873057162E-5,9.25267526427061,0.258097572850915
6.28E1,5.17899604170538E1,0.527482943706134,0.00470303006445477,0.256336209325,0.0194481567992074,0.00588717423379421,2.95314482959143E-5,1.05162413319239E1,1.67032689175449
9.54E1,8.59144923746861E1,0.515850453109145,0.00268485901955984,0.341876208435889,0.0118941716488076,0.00583099639043212,1.35522753660954E-5,6.58388974630021,0.50332261942954
8.18E1,7.93485979712307E1,0.518606643146857,0.00545071311538844,0.395043868516184,0.059635314416186,0.00586729291826487,1.83559235025029E-5,5.01924492600423,1.41045690882356
6.42E1,6.19088038973457E1,0.51941797803921,0.00310865104219102,0.418861741240678,0.0596328195172272,0.0058309935964644,2.000039391078E-5,4.27563139534884,1.20875853343049
4.06E1,4.11922322774574E1,0.520792476586594,0.00349317252820977,0.366027197154274,0.0161107047408198,0.00584662882611156,2.04715036476011E-5,5.68416479915433,0.639604647206524
106,8.05046582503149E1,0.509876837164226,0.00185107427831971,0.357837585101797,0.0163544508495864,0.00585639961063862,1.49477599246356E-5,5.85546088794926,0.683570208620823
6.74E1,3.28603104063245E1,0.514679956113328,0.00294557111328277,0.338671193014312,0.00922001307996375,0.00584401022642851,6.47458021468466E-6,6.716494397463,0.395813666113667
29,2.4114311103575E1,0.509125092690418,0.00336335963524477,0.650905615404275,0.0175844245658296,0.00588037502020597,3.12903711285735E-5,0.750108456659619,0.0795457045006363
4.58E1,2.53120524651795E1,0.513605480710361,0.00312683200455035,0.449976563977007,0.0107482877102157,0.00581945450976491,6.20841219185589E-6,3.5889245243129,0.240765483329266
5.16E1,2.10784249885991E1,0.514640250265416,0.00236555262097619,0.448414527191391,0.0087778300937534,0.00584517186507583,4.7691702674959E-6,3.6495334038055,0.200574029386946
1.082E2,5.63134087052098E1,0.514657221412734,0.00309365690448386,0.47463317363577,0.022474901170339,0.00584356756880879,1.18006499107164E-5,3.1648644820296,0.435799414879864
2.96E1,3.84096342080994E1,0.507538497483706,0.00116009048652418,0.737427728486136,0.0283431632195381,0.00581430858001113,2.67950371476479E-6,0.831048942917548,0.138535409983317
5.16E1,3.10612298533075E1,0.507562576628468,0.00033274071441572,0.666062837378123,0.0141250493238324,0.00582089740782976,6.61064553319469E-6,1.23812304439746,0.0933288656386864
20,2.14592637338749E1,0.506259106409657,0.0014079405118507,0.723175744624782,0.0278788661787082,0.00581765957176685,8.55873258098709E-6,0.898394714587738,0.140965804629577
1.812E2,1.28793245164488E2,0.508039659146891,0.000779183006708356,0.754611949603809,0.0244682434746028,0.00581861175596714,7.02136075246665E-6,0.746757716701903,0.110731617722764
2.272E2,2.23896627933518E2,0.506846439757815,0.00105981200744908,0.734032688782869,0.0416074751038649,0.00582000594586134,7.00516191004298E-6,0.852604545454545,0.224905893146109
8.46E1,5.06043476393086E1,0.506773772269743,0.000461088966303109,0.733499731302644,0.0115371975540523,0.0058190974406898,5.37593278524635E-6,0.840664904862579,0.0620906934556485
1.556E2,1.83960050010865E2,0.506696529563194,0.0016336515276075,0.796228994514485,0.0445365810408587,0.00581563487648964,8.26577391426397E-6,0.575506025369979,0.183091223036191
6.56E1,5.5536474500998E1,0.504458530770865,0.00057351933896394,0.893208686608528,0.0352932798788741,0.00581892607733607,3.85553416354917E-6,0.256725792811839,0.103123008571861
1.434E2,1.48292953305273E2,0.507242575551126,0.000887449368930039,0.784676943247539,0.0432782351174045,0.00581706361845136,6.74706141798138E-6,0.624787737843552,0.191154620761488
3.28E1,2.41909073827337E1,0.504785727934087,0.000843956080163736,0.861454304950171,0.00856711623773569,0.00581425977870822,1.71119516019303E-6,0.346564587737844,0.0253542637924726
3.54E1,2.78442094518771E1,0.507934479623414,0.000980093503446039,0.757873617963083,0.0320493661360673,0.00581705346703529,7.07262054222928E-6,0.735546194503171,0.14986309114063
