[1]	train-auc:0.503580	test-auc:0.501014 
Multiple eval metrics are present. Will use test_auc for early stopping.
Will train until test_auc hasn't improved in 100 rounds.

[2]	train-auc:0.503581	test-auc:0.501014 
[3]	train-auc:0.503754	test-auc:0.501175 
[4]	train-auc:0.503754	test-auc:0.501175 
[5]	train-auc:0.503834	test-auc:0.502249 
[6]	train-auc:0.503834	test-auc:0.502249 
[7]	train-auc:0.503811	test-auc:0.502778 
[8]	train-auc:0.503811	test-auc:0.502779 
[9]	train-auc:0.503901	test-auc:0.502855 
[10]	train-auc:0.503892	test-auc:0.502668 
[11]	train-auc:0.503892	test-auc:0.502669 
[12]	train-auc:0.503712	test-auc:0.502517 
[13]	train-auc:0.503712	test-auc:0.502517 
[14]	train-auc:0.503712	test-auc:0.502517 
[15]	train-auc:0.503893	test-auc:0.502669 
[16]	train-auc:0.503893	test-auc:0.502669 
[17]	train-auc:0.503893	test-auc:0.502668 
[18]	train-auc:0.503893	test-auc:0.502668 
[19]	train-auc:0.503893	test-auc:0.502668 
[20]	train-auc:0.503893	test-auc:0.502668 
[21]	train-auc:0.503893	test-auc:0.502668 
[22]	train-auc:0.503893	test-auc:0.502668 
[23]	train-auc:0.504089	test-auc:0.502875 
[24]	train-auc:0.503893	test-auc:0.502668 
[25]	train-auc:0.504169	test-auc:0.502854 
[26]	train-auc:0.503989	test-auc:0.502702 
[27]	train-auc:0.503989	test-auc:0.502702 
[28]	train-auc:0.503989	test-auc:0.502702 
[29]	train-auc:0.503989	test-auc:0.502702 
[30]	train-auc:0.503989	test-auc:0.502702 
[31]	train-auc:0.503989	test-auc:0.502702 
[32]	train-auc:0.503989	test-auc:0.502702 
[33]	train-auc:0.504330	test-auc:0.502271 
[34]	train-auc:0.504495	test-auc:0.502397 
[35]	train-auc:0.504660	test-auc:0.502393 
[36]	train-auc:0.504660	test-auc:0.502393 
[37]	train-auc:0.504660	test-auc:0.502393 
[38]	train-auc:0.504660	test-auc:0.502393 
[39]	train-auc:0.504660	test-auc:0.502393 
[40]	train-auc:0.504660	test-auc:0.502393 
[41]	train-auc:0.504660	test-auc:0.502393 
[42]	train-auc:0.504660	test-auc:0.502393 
[43]	train-auc:0.504660	test-auc:0.502393 
[44]	train-auc:0.504660	test-auc:0.502393 
[45]	train-auc:0.504495	test-auc:0.502267 
[46]	train-auc:0.504661	test-auc:0.502393 
[47]	train-auc:0.504495	test-auc:0.502267 
[48]	train-auc:0.504495	test-auc:0.502267 
[49]	train-auc:0.504495	test-auc:0.502267 
[50]	train-auc:0.504495	test-auc:0.502267 
[51]	train-auc:0.504566	test-auc:0.502339 
[52]	train-auc:0.504579	test-auc:0.502347 
[53]	train-auc:0.504579	test-auc:0.502347 
[54]	train-auc:0.504580	test-auc:0.502347 
[55]	train-auc:0.504580	test-auc:0.502347 
[56]	train-auc:0.504580	test-auc:0.502347 
[57]	train-auc:0.504589	test-auc:0.502355 
[58]	train-auc:0.504589	test-auc:0.502355 
[59]	train-auc:0.504589	test-auc:0.502355 
[60]	train-auc:0.504589	test-auc:0.502355 
[61]	train-auc:0.504589	test-auc:0.502355 
[62]	train-auc:0.504589	test-auc:0.502355 
[63]	train-auc:0.504589	test-auc:0.502355 
[64]	train-auc:0.504589	test-auc:0.502355 
[65]	train-auc:0.504589	test-auc:0.502355 
[66]	train-auc:0.504589	test-auc:0.502356 
[67]	train-auc:0.504589	test-auc:0.502355 
[68]	train-auc:0.504755	test-auc:0.502482 
[69]	train-auc:0.504755	test-auc:0.502482 
[70]	train-auc:0.504755	test-auc:0.502482 
[71]	train-auc:0.504725	test-auc:0.502452 
[72]	train-auc:0.504725	test-auc:0.502452 
[73]	train-auc:0.504755	test-auc:0.502482 
[74]	train-auc:0.504755	test-auc:0.502482 
[75]	train-auc:0.504755	test-auc:0.502482 
[76]	train-auc:0.504755	test-auc:0.502482 
[77]	train-auc:0.504755	test-auc:0.502482 
[78]	train-auc:0.504755	test-auc:0.502482 
[79]	train-auc:0.504755	test-auc:0.502482 
[80]	train-auc:0.504755	test-auc:0.502482 
[81]	train-auc:0.504755	test-auc:0.502482 
[82]	train-auc:0.504755	test-auc:0.502482 
[83]	train-auc:0.504755	test-auc:0.502482 
[84]	train-auc:0.504725	test-auc:0.502453 
[85]	train-auc:0.504755	test-auc:0.502482 
[86]	train-auc:0.504730	test-auc:0.502453 
[87]	train-auc:0.504730	test-auc:0.502453 
[88]	train-auc:0.504730	test-auc:0.502453 
[89]	train-auc:0.504730	test-auc:0.502453 
[90]	train-auc:0.504730	test-auc:0.502453 
[91]	train-auc:0.504730	test-auc:0.502453 
[92]	train-auc:0.504730	test-auc:0.502453 
[93]	train-auc:0.504725	test-auc:0.502453 
[94]	train-auc:0.504726	test-auc:0.502453 
[95]	train-auc:0.504726	test-auc:0.502453 
[96]	train-auc:0.504730	test-auc:0.502453 
[97]	train-auc:0.504730	test-auc:0.502453 
[98]	train-auc:0.504565	test-auc:0.502457 
[99]	train-auc:0.504565	test-auc:0.502457 
[100]	train-auc:0.504565	test-auc:0.502457 
[101]	train-auc:0.504565	test-auc:0.502457 
[102]	train-auc:0.504565	test-auc:0.502457 
[103]	train-auc:0.504565	test-auc:0.502457 
[104]	train-auc:0.504565	test-auc:0.502457 
[105]	train-auc:0.504565	test-auc:0.502457 
[106]	train-auc:0.504565	test-auc:0.502457 
[107]	train-auc:0.504565	test-auc:0.502457 
[108]	train-auc:0.504565	test-auc:0.502457 
[109]	train-auc:0.504572	test-auc:0.502465 
[110]	train-auc:0.504572	test-auc:0.502465 
[111]	train-auc:0.504572	test-auc:0.502465 
[112]	train-auc:0.504573	test-auc:0.502465 
[113]	train-auc:0.504575	test-auc:0.502474 
[114]	train-auc:0.504575	test-auc:0.502474 
[115]	train-auc:0.504575	test-auc:0.502474 
[116]	train-auc:0.504579	test-auc:0.502482 
[117]	train-auc:0.504579	test-auc:0.502482 
[118]	train-auc:0.504756	test-auc:0.502482 
[119]	train-auc:0.504756	test-auc:0.502482 
[120]	train-auc:0.504836	test-auc:0.501839 
[121]	train-auc:0.504756	test-auc:0.502482 
[122]	train-auc:0.504756	test-auc:0.502482 
[123]	train-auc:0.504764	test-auc:0.502486 
Stopping. Best iteration:
[23]	train-auc:0.504089	test-auc:0.502875

[1]	train-auc:0.503780	test-auc:0.501940 
Multiple eval metrics are present. Will use test_auc for early stopping.
Will train until test_auc hasn't improved in 100 rounds.

[2]	train-auc:0.503780	test-auc:0.501941 
[3]	train-auc:0.503952	test-auc:0.502466 
[4]	train-auc:0.504138	test-auc:0.501937 
[5]	train-auc:0.504138	test-auc:0.501937 
[6]	train-auc:0.504305	test-auc:0.501926 
[7]	train-auc:0.504139	test-auc:0.501939 
[8]	train-auc:0.504139	test-auc:0.501939 
[9]	train-auc:0.504139	test-auc:0.501939 
[10]	train-auc:0.504139	test-auc:0.501939 
[11]	train-auc:0.504139	test-auc:0.501939 
[12]	train-auc:0.504139	test-auc:0.501939 
[13]	train-auc:0.504139	test-auc:0.501939 
[14]	train-auc:0.504139	test-auc:0.501939 
[15]	train-auc:0.504139	test-auc:0.501939 
[16]	train-auc:0.504139	test-auc:0.501939 
[17]	train-auc:0.504139	test-auc:0.501939 
[18]	train-auc:0.504139	test-auc:0.501939 
[19]	train-auc:0.504139	test-auc:0.501939 
[20]	train-auc:0.504139	test-auc:0.501939 
[21]	train-auc:0.504139	test-auc:0.501939 
[22]	train-auc:0.504139	test-auc:0.501939 
[23]	train-auc:0.504139	test-auc:0.501939 
[24]	train-auc:0.504140	test-auc:0.501939 
[25]	train-auc:0.504140	test-auc:0.501939 
[26]	train-auc:0.504140	test-auc:0.501939 
[27]	train-auc:0.504140	test-auc:0.501939 
[28]	train-auc:0.504140	test-auc:0.501939 
[29]	train-auc:0.504140	test-auc:0.501939 
[30]	train-auc:0.504122	test-auc:0.502129 
[31]	train-auc:0.504122	test-auc:0.502129 
[32]	train-auc:0.504122	test-auc:0.502129 
[33]	train-auc:0.504122	test-auc:0.502129 
[34]	train-auc:0.504122	test-auc:0.502129 
[35]	train-auc:0.504122	test-auc:0.502129 
[36]	train-auc:0.504122	test-auc:0.502129 
[37]	train-auc:0.504122	test-auc:0.502130 
[38]	train-auc:0.504122	test-auc:0.502130 
[39]	train-auc:0.504122	test-auc:0.502130 
[40]	train-auc:0.504140	test-auc:0.501940 
[41]	train-auc:0.504140	test-auc:0.501940 
[42]	train-auc:0.504140	test-auc:0.501940 
[43]	train-auc:0.504140	test-auc:0.501940 
[44]	train-auc:0.504140	test-auc:0.501939 
[45]	train-auc:0.504140	test-auc:0.501939 
[46]	train-auc:0.504140	test-auc:0.501940 
[47]	train-auc:0.504140	test-auc:0.501939 
[48]	train-auc:0.504140	test-auc:0.501939 
[49]	train-auc:0.504140	test-auc:0.501939 
[50]	train-auc:0.504140	test-auc:0.501939 
[51]	train-auc:0.504140	test-auc:0.501939 
[52]	train-auc:0.504140	test-auc:0.501939 
[53]	train-auc:0.504140	test-auc:0.501939 
