[1]	train-auc:0.503137	test-auc:0.504871 
Multiple eval metrics are present. Will use test_auc for early stopping.
Will train until test_auc hasn't improved in 100 rounds.

[2]	train-auc:0.503136	test-auc:0.504880 
[3]	train-auc:0.503136	test-auc:0.504880 
[4]	train-auc:0.503136	test-auc:0.504880 
[5]	train-auc:0.503136	test-auc:0.504880 
[6]	train-auc:0.503136	test-auc:0.504880 
[7]	train-auc:0.503136	test-auc:0.504880 
[8]	train-auc:0.503136	test-auc:0.504880 
[9]	train-auc:0.503136	test-auc:0.504880 
[10]	train-auc:0.503136	test-auc:0.504880 
[11]	train-auc:0.503136	test-auc:0.504880 
[12]	train-auc:0.503136	test-auc:0.504880 
[13]	train-auc:0.503136	test-auc:0.504880 
[14]	train-auc:0.503136	test-auc:0.504880 
[15]	train-auc:0.503136	test-auc:0.504880 
[16]	train-auc:0.503136	test-auc:0.504880 
[17]	train-auc:0.503136	test-auc:0.504880 
[18]	train-auc:0.503136	test-auc:0.504880 
[19]	train-auc:0.503136	test-auc:0.504880 
[20]	train-auc:0.503136	test-auc:0.504880 
[21]	train-auc:0.503136	test-auc:0.504880 
[22]	train-auc:0.503136	test-auc:0.504880 
[23]	train-auc:0.503136	test-auc:0.504880 
[24]	train-auc:0.503175	test-auc:0.504842 
[25]	train-auc:0.503175	test-auc:0.504842 
[26]	train-auc:0.503175	test-auc:0.504842 
[27]	train-auc:0.503175	test-auc:0.504842 
[28]	train-auc:0.503175	test-auc:0.504842 
[29]	train-auc:0.503175	test-auc:0.504842 
[30]	train-auc:0.503175	test-auc:0.504842 
[31]	train-auc:0.503175	test-auc:0.504842 
[32]	train-auc:0.503175	test-auc:0.504842 
[33]	train-auc:0.503175	test-auc:0.504842 
[34]	train-auc:0.503175	test-auc:0.504842 
[35]	train-auc:0.503175	test-auc:0.504842 
[36]	train-auc:0.503175	test-auc:0.504842 
[37]	train-auc:0.503175	test-auc:0.504842 
[38]	train-auc:0.503175	test-auc:0.504842 
[39]	train-auc:0.503175	test-auc:0.504842 
[40]	train-auc:0.503175	test-auc:0.504842 
[41]	train-auc:0.503175	test-auc:0.504842 
[42]	train-auc:0.503175	test-auc:0.504842 
[43]	train-auc:0.503175	test-auc:0.504842 
[44]	train-auc:0.503175	test-auc:0.504842 
[45]	train-auc:0.503175	test-auc:0.504842 
[46]	train-auc:0.503175	test-auc:0.504842 
[47]	train-auc:0.503175	test-auc:0.504842 
[48]	train-auc:0.503175	test-auc:0.504842 
[49]	train-auc:0.503175	test-auc:0.504842 
[50]	train-auc:0.503175	test-auc:0.504842 
[51]	train-auc:0.503175	test-auc:0.504842 
[52]	train-auc:0.503175	test-auc:0.504842 
[53]	train-auc:0.503177	test-auc:0.504843 
[54]	train-auc:0.503177	test-auc:0.504843 
[55]	train-auc:0.503177	test-auc:0.504843 
[56]	train-auc:0.503177	test-auc:0.504843 
[57]	train-auc:0.503177	test-auc:0.504843 
[58]	train-auc:0.503177	test-auc:0.504843 
[59]	train-auc:0.503177	test-auc:0.504843 
[60]	train-auc:0.503177	test-auc:0.504843 
[61]	train-auc:0.503177	test-auc:0.504843 
[62]	train-auc:0.503177	test-auc:0.504843 
[63]	train-auc:0.503177	test-auc:0.504843 
[64]	train-auc:0.503177	test-auc:0.504843 
[65]	train-auc:0.503177	test-auc:0.504843 
[66]	train-auc:0.503177	test-auc:0.504843 
[67]	train-auc:0.503177	test-auc:0.504843 
[68]	train-auc:0.503177	test-auc:0.504843 
[69]	train-auc:0.503177	test-auc:0.504843 
[70]	train-auc:0.503177	test-auc:0.504843 
[71]	train-auc:0.503177	test-auc:0.504843 
[72]	train-auc:0.503177	test-auc:0.504843 
[73]	train-auc:0.503177	test-auc:0.504843 
[74]	train-auc:0.503177	test-auc:0.504843 
[75]	train-auc:0.503177	test-auc:0.504843 
[76]	train-auc:0.503177	test-auc:0.504843 
[77]	train-auc:0.503177	test-auc:0.504843 
[78]	train-auc:0.503177	test-auc:0.504843 
[79]	train-auc:0.503177	test-auc:0.504843 
[80]	train-auc:0.503177	test-auc:0.504843 
[81]	train-auc:0.503177	test-auc:0.504843 
[82]	train-auc:0.503177	test-auc:0.504843 
[83]	train-auc:0.503177	test-auc:0.504843 
[84]	train-auc:0.503177	test-auc:0.504843 
[85]	train-auc:0.503177	test-auc:0.504843 
[86]	train-auc:0.503177	test-auc:0.504843 
[87]	train-auc:0.503177	test-auc:0.504843 
[88]	train-auc:0.503177	test-auc:0.504843 
[89]	train-auc:0.503177	test-auc:0.504843 
[90]	train-auc:0.503177	test-auc:0.504843 
[91]	train-auc:0.503177	test-auc:0.504843 
[92]	train-auc:0.503177	test-auc:0.504843 
[93]	train-auc:0.503177	test-auc:0.504843 
[94]	train-auc:0.503177	test-auc:0.504843 
[95]	train-auc:0.503177	test-auc:0.504843 
[96]	train-auc:0.503177	test-auc:0.504843 
[97]	train-auc:0.503177	test-auc:0.504843 
[98]	train-auc:0.503177	test-auc:0.504843 
[99]	train-auc:0.503177	test-auc:0.504843 
[100]	train-auc:0.503177	test-auc:0.504843 
[101]	train-auc:0.503259	test-auc:0.504900 
[102]	train-auc:0.503259	test-auc:0.504900 
[103]	train-auc:0.503259	test-auc:0.504900 
[104]	train-auc:0.503259	test-auc:0.504900 
[105]	train-auc:0.503259	test-auc:0.504900 
[106]	train-auc:0.503259	test-auc:0.504900 
[107]	train-auc:0.503259	test-auc:0.504900 
[108]	train-auc:0.503259	test-auc:0.504900 
[109]	train-auc:0.503259	test-auc:0.504900 
[110]	train-auc:0.503259	test-auc:0.504900 
[111]	train-auc:0.503259	test-auc:0.504900 
[112]	train-auc:0.503259	test-auc:0.504900 
[113]	train-auc:0.503259	test-auc:0.504900 
[114]	train-auc:0.503259	test-auc:0.504900 
[115]	train-auc:0.503259	test-auc:0.504900 
[116]	train-auc:0.503259	test-auc:0.504900 
[117]	train-auc:0.503259	test-auc:0.504900 
[118]	train-auc:0.503259	test-auc:0.504900 
[119]	train-auc:0.503259	test-auc:0.504900 
[120]	train-auc:0.503259	test-auc:0.504900 
[121]	train-auc:0.503259	test-auc:0.504900 
[122]	train-auc:0.503259	test-auc:0.504900 
[123]	train-auc:0.503259	test-auc:0.504900 
[124]	train-auc:0.503259	test-auc:0.504900 
[125]	train-auc:0.503259	test-auc:0.504900 
[126]	train-auc:0.503259	test-auc:0.504900 
[127]	train-auc:0.503259	test-auc:0.504900 
[128]	train-auc:0.503259	test-auc:0.504900 
[129]	train-auc:0.503259	test-auc:0.504900 
[130]	train-auc:0.503259	test-auc:0.504900 
[131]	train-auc:0.503259	test-auc:0.504900 
[132]	train-auc:0.503259	test-auc:0.504900 
[133]	train-auc:0.503259	test-auc:0.504900 
[134]	train-auc:0.503259	test-auc:0.504900 
[135]	train-auc:0.503259	test-auc:0.504900 
[136]	train-auc:0.503259	test-auc:0.504900 
[137]	train-auc:0.503259	test-auc:0.504900 
[138]	train-auc:0.503259	test-auc:0.504900 
[139]	train-auc:0.503259	test-auc:0.504900 
[140]	train-auc:0.503259	test-auc:0.504900 
[141]	train-auc:0.503259	test-auc:0.504900 
[142]	train-auc:0.503259	test-auc:0.504900 
[143]	train-auc:0.503259	test-auc:0.504900 
[144]	train-auc:0.503259	test-auc:0.504900 
[145]	train-auc:0.503259	test-auc:0.504900 
[146]	train-auc:0.503259	test-auc:0.504900 
[147]	train-auc:0.503259	test-auc:0.504900 
[148]	train-auc:0.503259	test-auc:0.504900 
[149]	train-auc:0.503259	test-auc:0.504900 
[150]	train-auc:0.503259	test-auc:0.504900 
[151]	train-auc:0.503259	test-auc:0.504900 
[152]	train-auc:0.503259	test-auc:0.504900 
[153]	train-auc:0.503259	test-auc:0.504900 
[154]	train-auc:0.503259	test-auc:0.504900 
[155]	train-auc:0.503259	test-auc:0.504900 
[156]	train-auc:0.503259	test-auc:0.504900 
[157]	train-auc:0.503259	test-auc:0.504900 
[158]	train-auc:0.503259	test-auc:0.504900 
[159]	train-auc:0.503259	test-auc:0.504900 
[160]	train-auc:0.503259	test-auc:0.504900 
[161]	train-auc:0.503259	test-auc:0.504900 
[162]	train-auc:0.503259	test-auc:0.504900 
[163]	train-auc:0.503259	test-auc:0.504900 
[164]	train-auc:0.503259	test-auc:0.504900 
[165]	train-auc:0.503259	test-auc:0.504900 
[166]	train-auc:0.503259	test-auc:0.504900 
[167]	train-auc:0.503259	test-auc:0.504900 
[168]	train-auc:0.503259	test-auc:0.504900 
[169]	train-auc:0.503259	test-auc:0.504900 
[170]	train-auc:0.503259	test-auc:0.504900 
[171]	train-auc:0.503259	test-auc:0.504900 
[172]	train-auc:0.503259	test-auc:0.504900 
[173]	train-auc:0.503263	test-auc:0.504902 
[174]	train-auc:0.503263	test-auc:0.504902 
[175]	train-auc:0.503263	test-auc:0.504902 
[176]	train-auc:0.503263	test-auc:0.504902 
[177]	train-auc:0.503263	test-auc:0.504902 
[178]	train-auc:0.503263	test-auc:0.504902 
[179]	train-auc:0.503263	test-auc:0.504902 
[180]	train-auc:0.503263	test-auc:0.504902 
