"Feature","Gain","Cover","Frequency"
"L3_S32_F3854:T2",0.0451931188956283,0.0790739419833528,0.00199317007055822
"L3_S33_F3865",0.0355504752087902,0.00147680465192879,0.0185364816561915
"L3_S33_F3859",0.0256417612135639,0.00081213956254925,0.0237452994405836
"S34_Max",0.0246451050038595,0.0808724122260368,0.00811884608740715
"L1_S24_F1723",0.0228053495410562,0.101172924399581,0.00716212445353921
"MinMin_features",0.019985491629705,0.0394571644343044,0.0066040368337829
"L3_S33_F3857",0.0197488078588508,0.000797706223878221,0.0235459824335278
"L0_S0_F20",0.019295845946015,0.0042138925888303,0.0209947247432133
"L3_S30_F3759",0.0192072040074063,0.00117549114689593,0.0254594257012637
"MaxMax_features",0.0187267367159098,0.00725944656991815,0.00972666994432412
"L3_S32_F3851:T1",0.0186654917977558,0.00674968043847207,0.00116932644139416
"L3_S30_F3744",0.0182512839183169,0.00162739781684447,0.0242635236589287
"L3_S30_F3774",0.0180553433111695,0.000791362919350431,0.0239047530462283
"L3_S30_F3754",0.0179929344772911,0.000799145076095171,0.0264560107365428
"L3_S36_F3920",0.0170176657727895,0.00110136874846734,0.0233732410274127
"L3_S30_F3554",0.0170161011837467,0.00106310597118168,0.0240642066518729
"L3_S30_F3769",0.0161269552676904,0.000759881048385787,0.0213933587573249
"L3_S30_F3804",0.0160787090773222,0.00142963382857652,0.0213003441540322
"L1_S24_F1846",0.0152553407276278,0.102323911245696,0.00845104109916685
"L3_S30_F3809",0.015167220655981,0.00144001017839677,0.0205828029286312
"L3_S29_F3479",0.014827419317349,0.000471796520681612,0.0200911543112269
"L3_S29_F3395",0.0128125820548938,0.018979682831968,0.0188155254660696
"L0_S1_F28",0.0122002313224412,0.00121956749333647,0.0156928923555284
"L3_S32_F3854:T4",0.0117284991215628,0.0746256362360305,0.0013420678475092
"L3_S29_F3339",0.0112154572725048,0.0014603101788471,0.0135004052779143
"L3_S29_F3351",0.0111960630770963,0.00106774466925938,0.0139123270924964
"TimeToExitProduction_features",0.0108446951551484,0.00131826022730963,0.00968680654291295
"S35_Max",0.0104299562961155,0.00465335496734091,0.0070558220497761
"L0_S12_F350",0.0102859137445079,0.00106414153745081,0.00926159692786053
"L0_S1_F24",0.0102471544461655,0.000960231759429451,0.0126632738482799
"S37_Max",0.0102226453995195,0.00105943846893325,0.0124373812402833
"S38_StationTiming",0.0101941848941265,0.00147002311011934,0.0114275084045338
"S30_Max",0.0100703796869074,0.000787168700137265,0.00849090450057802
"L3_S29_F3336",0.0099333413469512,0.00059736244346653,0.0141249319000226
"L3_S30_F3704",0.00949369471979137,0.00920175778600948,0.0100190015546727
"L3_S29_F3382",0.00926457204973276,0.000407630118696724,0.0131947858670954
"S36_Max",0.00924615826098445,0.000610251580747819,0.0125569714445168
"L3_S30_F3519",0.00911970160160889,0.000236967955405041,0.0145767171160158
"S37_Time0",0.00887082394664272,0.000322283943303125,0.0115736742097081
