"Feature","Gain","Cover","Frequency"
"L3_S32_F3854:T2",0.0521584993874909,0.0947427486524951,0.00321659131295409
"L3_S32_F3851:T1",0.0314172543803202,0.010295262774807,0.00186697258024608
"L1_S24_F1723",0.0248988460609501,0.0922306530491393,0.00776030771307106
"L3_S33_F3859",0.0229690024238381,0.000553853937244626,0.0121465685943721
"MinMin_features",0.0198094822547463,0.0204406095263466,0.00609577794273118
"L3_S33_F3865",0.0197871674132533,0.0011997515012884,0.0105945070517579
"S34_Mean",0.0194844569261682,0.0786143496586945,0.00800773781406753
"L1_S24_F1846",0.0174152528542031,0.105778566504867,0.00841262343387993
"MaxMax_features",0.0165071093648482,0.00278611642152296,0.00805272510515779
"S30_Mean",0.013528040530818,0.0018713459309251,0.00960478664777201
"L3_S32_F3854:T4",0.0133754629462399,0.0911742810947235,0.00220437726342308
"L3_S30_F3804",0.010027017812067,0.000947342810276712,0.010617000697303
"L3_S30_F3744",0.00997084095169536,0.00496041062691676,0.0128438716062712
"L3_S30_F3759",0.00976407441871131,0.000633789904234139,0.0133837190993544
"S34_StationPositiveSumNumeric",0.00949371849054558,0.00149128109058909,0.0110893672537508
"S38_StationTiming",0.00923552228305052,0.000847622145280976,0.00863755988933126
"S34_Time0",0.00922731955479659,0.000585002977292029,0.00332905954067976
"L3_S30_F3774",0.00909985410634396,0.000418785608637718,0.0127089097330004
"L3_S30_F3749",0.0082947666738495,0.00126587325018055,0.0114942528735632
"S31_SumNumeric",0.00789242711959941,0.000318915339684657,0.0100321659131295
"sum_feature",0.00788523661404627,0.00150270668988072,0.0108869244438446
"L3_S30_F3754",0.00788078444382325,0.000771314287841892,0.0135861619092606
"S39_Mean",0.00772746885476407,0.002342080799877,0.00677058730908518
"S34_StationNegativeSumNumeric",0.00766742308651821,0.000145530448483585,0.0101221404953101
"L1_S24_F1844",0.00765358489292905,0.00136999207696373,0.00643318262590818
"L3_S38_F3956",0.00729384396122718,0.000335824187290135,0.00191195987133635
"S1_StationPositiveSumNumeric",0.00726954769167985,0.000474362333498267,0.00715297928335245
"L3_S30_F3809",0.00724234565741412,0.000629283781947542,0.0108644307982995
"S1_ProductStationNumeric",0.00709382368891844,0.000213545594646881,0.00848010437051533
"sum_positive_feature",0.00708950127500596,0.000165800383670028,0.0108644307982995
"L3_S30_F3769",0.00707857408874437,0.000310552430848141,0.00964977393886227
"S30_StationNegativeSumNumeric",0.00702263419279468,0.000427787997086268,0.0115392401646535
"L0_S0_F20",0.00700093829654173,0.000420398327974052,0.00681557460017545
"S30_StationPositiveSumNumeric",0.00685145606581454,0.000329030154863659,0.0112468227725668
"S31_StationNegativeSumNumeric",0.00684853537140001,0.000186556908731715,0.00980722945767821
"S35_Mean",0.00684180014666179,0.00183345374344528,0.00623073981600198
"L3_S29_F3479",0.00676595618375141,0.000185963847849755,0.0094698247745012
"L3_S30_F3704",0.00670449555780905,0.005997629653305,0.0049710956654745
"sum_sign_feature",0.00648320707579203,0.000108636503809824,0.00908743280023393
"L3_S29_F3395",0.00640497029603573,0.000295767984996942,0.0101896214319455
"L3_S30_F3554",0.00630950607528005,0.000630501503198452,0.00928987561014014
"L3_S29_F3351",0.00625467284310222,0.00279672202688589,0.00773781406752592
"S31_StationPositiveSumNumeric",0.00621088172294859,0.000361135833741708,0.0087950154081472
"TimeToExitProduction_features",0.00619707074867203,0.00142291610783373,0.00573587961400904
"LastStation38",0.00605615723877148,3.89649964389608e-05,0.00164203612479475
"sum_negative_feature",0.00603782248016105,9.9079845540207e-05,0.0103470769507614
"S30_SumNumeric",0.00595447487674282,0.00020816657696093,0.008592572598241
"L3_S36_F3920",0.00588729044390664,0.000172119281718924,0.0087275344715118
"S1_SumNumeric",0.00574460314207464,0.000974675220595837,0.00623073981600198
"S33_Mean",0.00567447243665115,0.00328418116718606,0.00137211237825314
"L3_S29_F3339",0.00564701051918187,0.00195292413057749,0.00749038396652946
"S34_SumNumeric",0.00551383282559038,0.000595916622070253,0.00589333513282498
"L3_S32_F3854:T16",0.00546574211410408,0.0906899660682514,0.00227185820005848
"L1_S24_F1498",0.00533108000003449,0.0753898517545728,0.00434127359021077
"L0_S1_F24",0.00531127796059278,0.000487305664319375,0.00535348763974177
"S37_SumNumeric",0.00527228963165014,0.000196332653474484,0.00778280135861619
"S37_Mean",0.00526637764222533,0.000545302361794207,0.00569089232291878
"L3_S29_F3382",0.00516130910376967,0.00048517069696455,0.00812020604179319
"L1_S24_F1604",0.00503026527239109,0.0243536841507112,0.00206941539015228
"L1_S24_F1695",0.00501877723878778,0.0130630877191993,0.00209190903569742
"S35_StationTiming",0.00491476979350049,0.00418910966511286,0.00537598128528691
"L2_S26_F3040",0.004870599642221,0.00131315854320661,0.00722046021998785
"L3_S33_F3857",0.00485782857233548,0.000343495894314721,0.00663562543581438
"S37_Time0",0.00473632223213057,0.000254293657321565,0.00728794115662325
"S2_SumNumeric",0.00471256292645661,0.000469193839881603,0.00546595586746744
"S2_StationNegativeSumNumeric",0.00469061291376815,0.000532049319502239,0.00614076523382145
"S1_StationNegativeSumNumeric",0.00458386870293208,0.000489730745131605,0.00600580336055064
"S31_Mean",0.0045809300507841,0.000312103367591994,0.00499358931101964
"S2_ProductStationNumeric",0.0045743892701178,0.000747572278254001,0.00625323346154711
"S39_Time0",0.00454733473746923,0.000426278832315902,0.00321659131295409
"S25_SumNumeric",0.0044177307470183,0.000229571674021371,0.00762534583980026
"S36_SumNumeric",0.00438676072331896,0.000150936531065244,0.00731043480216839
"S36_StationNegativeSumNumeric",0.00436358213364571,0.000894378324500953,0.00569089232291878
"S30_Time0",0.00422953033795305,9.297322379544e-05,0.00479114650111344
"S5_ProductStationNumeric",0.00420305981734884,0.00144883043725125,0.00474615921002317
"S36_Time0",0.00415413713013007,0.000203642842079608,0.00618575252491171
"L3_S30_F3519",0.00405062730256656,8.03405002682942e-05,0.00656814449917898
"S27_StationTiming",0.00404676718623464,0.000165762297444208,0.00614076523382145
"L3_S29_F3336",0.00404012199378201,0.000550060166605772,0.00668061272690465
"S30_Max",0.00399498473655813,0.00044584277029406,0.00274422475650629
"L3_S38_F3960",0.00391754410837063,0.00045506190945002,0.00353150235058596
"L0_S1_F28",0.00385590146768047,0.000247363022974379,0.00440875452684617
"S4_StationPositiveSumNumeric",0.00373017136214013,0.00111910980440244,0.0044312481723913
"L3_S38_F3952",0.00365127649102032,0.000110925580583121,0.00474615921002317
"S36_StationPositiveSumNumeric",0.00360873198165352,7.15813513886869e-05,0.00535348763974177
"L1_S24_F867",0.00355449534931385,0.0723397440550135,0.0040938434892143
"L0_S12_F350",0.00353178371657766,0.000167285276110955,0.00346402141395056
"S13_StationNegativeSumNumeric",0.00349735022325933,0.000823471871971867,0.00344152776840543
"S37_StationNegativeSumNumeric",0.00342691323185366,0.000147169421355642,0.00474615921002317
"S17_ProductStationNumeric",0.00342434930962017,0.0274919254003616,0.0049710956654745
"S31_Time0",0.00342157836423473,0.000118243433198702,0.00195694716242661
"S27_Mean",0.00336690760296144,0.00261716071649032,0.00551094315855771
"sum_NA_feature",0.00335145831155317,0.000107829294155682,0.00267674381987089
"S35_Time0",0.00329119263915601,0.000127047347387536,0.00321659131295409
"L1_S24_F1578",0.00307478858949351,0.000824096299656711,0.00420631171693996
"S12_ProductStationNumeric",0.00301009050246307,0.000302760247075662,0.00465618462784263
"S8_StationPositiveSumNumeric",0.00300443112563423,0.000140517060850217,0.00492610837438424
"S7_Mean",0.00298497174101769,0.000243785631348101,0.00328407224958949
"S11_StationTiming",0.00292855272584497,0.000692358768571981,0.00249679465550982
"S36_Mean",0.00289581674260932,0.000308292489637772,0.00427379265357537
"S4_StationNegativeSumNumeric",0.0028836518736629,0.000316836952693999,0.00413883078030456
"S25_StationTiming",0.00287456815449282,0.00182035763548107,0.00375643880603729
"S2_StationPositiveSumNumeric",0.00276519467188874,5.45645720572112e-05,0.00404885619812403
